"1 of 2","1 از 2"
"1 record will be exported","1 رکورد صادر خواهد شد"
"1 second ago","1 ثانیه پیش"
"1 week ago","1 هفته قبل"
"1 year ago","1 سال پیش"
"2 hours ago","2 ساعت پیش"
"2 months ago","2 ماه پیش"
"2 weeks ago","2 هفته پیش"
"2 years ago","2 سال پیش"
"3 minutes ago","3 دقیقه پیش"
"30 minutes","30 دقیقه"
"4 hours","4 ساعت"
"5 Records","5 رکورد"
"5 days ago","5 روز پیش"
"; not allowed in condition","; در شرایط مجاز نیست"
"<","<"
"<=","<="
"<b>{0}</b> is not a valid URL","<b>{0}</b> یک URL معتبر نیست"
"<div class=\""""alert\"""">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=\""""alert\"""">لطفاً آن را به روز نکنید زیرا ممکن است فرم شما را به هم بریزد. از سفارشی‌سازی فرم View و Custom Fields برای تنظیم ویژگی ها استفاده کنید!</div>"
"<h5 class=\""""text-muted uppercase\"""">Or</h5>","<h5 class=\""""text-muted uppercase\"""">یا</h5>"
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>","<p>OTP secret شما در {0} بازنشانی شده است. اگر این بازنشانی را انجام ندادید و آن را درخواست نکردید، لطفاً فوراً با ادمین سیستم خود تماس بگیرید.</p>"
"<span class=\""""h2\"""">Hi,</span>","<span class=\""""h2\"""">سلام،</span>"
"<span class=\""""h4\""""><b>Documents</b></span>","<span class=\""""h4\""""><b>اسناد</b></span>"
"<span class=\""""h4\""""><b>Reports & Masters</b></span>","<span class=\""""h4\""""><b>گزارش ها و مستندات</b></span>"
"<span class=\""""h4\""""><b>Reports &amp; Masters</b></span>","<span class=\""""h4\""""><b>گزارش ها و مستندات</b></span>"
"<span class=\""""h4\""""><b>Your Shortcuts</b></span>","<span class=\""""h4\""""><b>میانبرهای شما</b></span>"
"<span style=\""""font-size: 18px; letter-spacing: 0.18px;\""""><b>Components to build your app</b></span>","<span style=\""""font-size: 18px; letter-spacing: 0.18px;\""""><b>اجزای ساخت برنامه شما</b></span>"
"<span style=\""""font-size: 18px; letter-spacing: 0.18px;\""""><b>Get started</b><br></span>","<span style=\""""font-size: 18px; letter-spacing: 0.18px;\""""><b>شروع کنید</b><br></span>"
"<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.","<strong>هشدار:</strong> این فیلد سیستمی ایجاد شده است و ممکن است توسط یک به‌روزرسانی آینده بازنویسی شود. در عوض با استفاده از {0} آن را تغییر دهید."
"=","="
">",">"
">=",">="
"A DocType (Document Type) is used to insert forms in ERPNext. Forms such as Customer, Orders, and Invoices are Doctypes in the backend. You can also create new DocTypes to create new forms in ERPNext as per your business needs.","یک DocType (نوع سند) برای درج فرم ها در ERPNext استفاده می‌شود. فرم هایی مانند مشتری، سفارش‌ها و فاکتورها در باطن Doctypes هستند. همچنین می‌توانید DocType‌های جدیدی برای ایجاد فرم‌های جدید در ERPNext بر اساس نیازهای کسب‌وکار خود ایجاد کنید."
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","نام DocType باید با یک حرف شروع شود و فقط شامل حروف، اعداد، فاصله، زیرخط و خط فاصله باشد."
"A featured post must have a cover image","یک پست برجسته باید تصویر جلد داشته باشد"
"A field with the name {0} already exists in {1}","فیلدی با نام {0} از قبل در {1} وجود دارد"
"A file with same name {} already exists","فایلی با همین نام {} از قبل وجود دارد"
"A list of resources which the Client App will have access to after the user allows it.<br> e.g. project","فهرستی از منابعی که پس از اجازه کاربر، برنامه مشتری به آن دسترسی خواهد داشت.<br> به عنوان مثال پروژه"
"A new account has been created for you at {0}","یک حساب کاربری جدید برای شما در {0} ایجاد شده است"
"A recurring {0} {1} has been created for you via Auto Repeat {2}.","یک {0} {1} تکرارشونده از طریق تکرار خودکار {2} برای شما ایجاد شده است."
"A symbol for this currency. For e.g. $","ن برای این ارز. به عنوان مثال $"
"A template already exists for field {0} of {1}","یک الگو از قبل برای فیلد {0} از {1} وجود دارد"
"A word by itself is easy to guess.","حدس زدن یک کلمه به تنهایی آسان است."
"A0","A0"
"A1","A1"
"A2","A2"
"A3","A3"
"A4","A4"
"A5","A5"
"A6","A6"
"A7","A7"
"A8","A8"
"A9","A9"
"ALL","همه"
"API","API"
"API Access","دسترسی به API"
"API Endpoint","نقطه پایانی API"
"API Endpoint Args","API Endpoint Args"
"API Key","کلید API"
"API Key cannot be regenerated","کلید API قابل بازسازی نیست"
"API Method","روش API"
"API Secret","API Secret"
"ASC","صعودی"
"About","درباره"
"About Us","درباره ما"
"About Us Settings","تنظیمات درباره ما"
"About Us Team Member","درباره ما عضو تیم"
"About {0} minute remaining","حدود {0} دقیقه باقی مانده است"
"About {0} minutes remaining","حدود {0} دقیقه باقی مانده است"
"About {0} seconds remaining","حدود {0} ثانیه باقی مانده است"
"Access Control","کنترل دسترسی"
"Access Key ID","دسترسی به شناسه کلید"
"Access Key Secret","دسترسی به رمز کلید"
"Access Log","لاگ دسترسی"
"Access Token","نشانه دسترسی"
"Access Token URL","URL توکن دسترسی"
"Access not allowed from this IP Address","دسترسی از این آدرس IP مجاز نیست"
"Account","حساب"
"Account Deletion Settings","تنظیمات حذف اکانت"
"Accounts Manager","مدیر حساب ها"
"Accounts User","کاربر حسابها"
"Action","اقدام"
"Action / Route","اقدام / مسیر"
"Action Complete","اقدام کامل شد"
"Action Failed","اقدام ناموفق بود"
"Action Label","برچسب اقدام"
"Action Timeout (Seconds)","مهلت زمانی عمل (ثانیه)"
"Action Type","نوع اقدام"
"Action {0} completed successfully on {1} {2}. View it {3}","عمل {0} در {1} {2} با موفقیت انجام شد. مشاهده آن {3}"
"Action {0} failed on {1} {2}. View it {3}","عمل {0} در {1} {2} ناموفق بود. مشاهده آن {3}"
"Actions","عملیات"
"Activate","فعال کنید"
"Active","فعال"
"Active Directory","اکتیو دایرکتوری"
"Active Domains","دامنه های فعال"
"Active Sessions","نشست‌های فعال"
"Activity","فعالیت"
"Activity Log","لاگ فعالیت"
"Add","افزودن"
"Add / Remove Columns","اضافه / حذف ستون ها"
"Add / Update","افزودن / به روز رسانی"
"Add A New Rule","افزودن یک قانون جدید"
"Add Attachment","افزودن پیوست"
"Add Background Image","افزودن تصویر پس زمینه"
"Add Blog Category","افزودن دسته‌بندی بلاگ"
"Add Border at Bottom","افزودن حاشیه در پایین"
"Add Border at Top","افزودن حاشیه در بالا"
"Add Card to Dashboard","افزودن کارت به داشبورد"
"Add Chart to Dashboard","افزودن نمودار به داشبورد"
"Add Child","اضافه کردن کودک"
"Add Column","افزودن ستون"
"Add Contact","افزودن مخاطب"
"Add Contacts","افزودن شماره"
"Add Custom Tags","افزودن تگ‌های سفارشی"
"Add Filters","افزودن فیلترها"
"Add Gray Background","افزودن پس زمینه خاکستری"
"Add Group","افزودن گروه"
"Add Indexes","افزودن شاخص ها"
"Add Multiple","اضافه کردن چند"
"Add New Permission Rule","افزودن قانون مجوز جدید"
"Add Participants","شرکت کنندگان اضافه کردن"
"Add Query Parameters","افزودن پارامترهای پرسمان"
"Add Review","افزودن نظر"
"Add Roles","افزودن نقش ها"
"Add Row","افزودن ردیف"
"Add Signature","افزودن امضا"
"Add Space at Bottom","افزودن فضا در پایین"
"Add Space at Top","افزودن فضا در بالا"
"Add Subscribers","افزودن مشترکین"
"Add Tags","افزودن برچسب"
"Add Template","اضافه کردن الگو"
"Add Total Row","افزودن ردیف کل"
"Add User Permissions","افزودن مجوزهای کاربر"
"Add Video Conferencing","افزودن ویدئو کنفرانس"
"Add a Filter","افزودن یک فیلتر"
"Add a New Role","افزودن یک نقش جدید"
"Add a Row","افزودن یک ردیف"
"Add a comment","افزودن یک نظر"
"Add a new section","افزودن یک بخش جدید"
"Add a row above the current row","افزودن یک ردیف بالای ردیف فعلی"
"Add a row at the bottom","افزودن یک ردیف در پایین"
"Add a row at the top","افزودن یک ردیف در بالا"
"Add a row below the current row","افزودن یک ردیف زیر ردیف فعلی"
"Add a {0} Chart","افزودن یک نمودار {0}"
"Add column","افزودن ستون"
"Add field","افزودن فیلد"
"Add new tab","افزودن تب جدید"
"Add page break","افزودن شکست صفحه"
"Add script for Child Table","افزودن اسکریپت برای جدول فرزند"
"Add section above","افزودن بخش بالا"
"Add section below","افزودن بخش زیر"
"Add tab","افزودن تب"
"Add to Dashboard","افزودن به داشبورد"
"Add to ToDo","افزودن به لیست انجام کارها"
"Add to table","افزودن به جدول"
"Add to this activity by mailing to {0}","با ارسال پست به {0} به این فعالیت اضافه کنید"
"Add {0}","افزودن {0}"
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML در &lt;head&gt; بخشی از صفحه وب، که در درجه اول برای تأیید وب سایت و سئو استفاده می‌شود"
"Added default log doctypes: {}","افزودن پیش‌فرض اسناد لاگ: {}"
"Added {0}","اضافه شد {0}"
"Added {0} ({1})","اضافه شده {0} ({1})"
"Additional Permissions","مجوزهای اضافی"
"Address","آدرس"
"Address Line 1","خط 1 آدرس"
"Address Line 2","خط 2 آدرس"
"Address Template","الگوی آدرس"
"Address Title","عنوان نشانی"
"Address Title is mandatory.","عنوان آدرس الزامی است"
"Address Type","نوع نشانی"
"Address and other legal information you may want to put in the footer.","آدرس و سایر اطلاعات حقوقی که ممکن است بخواهید در پاورقی قرار دهید."
"Addresses","نشانی ها"
"Addresses And Contacts","آدرس ها و مخاطبین"
"Adds a custom client script to a DocType","یک اسکریپت کلاینت سفارشی را به DocType اضافه می‌کند"
"Adds a custom field to a DocType","یک فیلد سفارشی به DocType اضافه می‌کند"
"Administration","مدیریت"
"Administrator","مدیر"
"Administrator Logged In","ادمین وارد شده است"
"Administrator accessed {0} on {1} via IP Address {2}.","ادمین از طریق آدرس IP {2} به {0} در {1} دسترسی پیدا کرد."
"Advanced","پیشرفته"
"Advanced Control","کنترل پیشرفته"
"Advanced Search","جستجوی پیشرفته"
"Advanced Settings","تنظیمات پیشرفته"
"After","بعد از"
"After Cancel","پس از لغو"
"After Delete","پس از حذف"
"After Insert","پس از درج"
"After Rename","بعد از تغییر نام"
"After Save","پس از ذخیره"
"After Save (Submitted Document)","پس از ذخیره (سند ارسالی)"
"After Submission","پس از ارسال"
"After Submit","پس از ارسال"
"Aggregate Field is required to create a number card","برای ایجاد کارت شماره، فیلد مجموع لازم است"
"Aggregate Function Based On","عملکرد کل بر اساس"
"Aggregate Function field is required to create a dashboard chart","برای ایجاد نمودار داشبورد، فیلد عملکرد جمع مورد نیاز است"
"Alert","هشدار"
"Alerts and Notifications","هشدارها و اعلان ها"
"Align","تراز کردن"
"Align Labels to the Right","برچسب ها را به سمت راست تراز کنید"
"Align Right","تراز کردن به راست"
"Align Value","تراز کردن مقدار"
"All","همه"
"All Day","تمام روز"
"All Images attached to Website Slideshow should be public","تمام تصاویر پیوست شده به نمایش اسلاید وب سایت باید عمومی باشند"
"All Records","همه رکوردها"
"All Submissions","تمام ارسال ها"
"All customizations will be removed. Please confirm.","تمام سفارشی سازی ها حذف خواهند شد. لطفا تایید کنید."
"All fields are necessary to submit the comment.","تمامی فیلدها برای ارسال نظر ضروری است."
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is \""""Saved\"""", 1 is \""""Submitted\"""" and 2 is \""""Cancelled\","همه حالت های گردش کار ممکن و نقش های گردش کار. گزینه‌های Docstatus: 0 \""""ذخیره شده\""""، 1 \""""ارسال شده\"""" و 2 \""""لغو شده\"""" است."
"All-uppercase is almost as easy to guess as all-lowercase.","حدس زدن حروف بزرگ تقریباً به راحتی حروف کوچک است."
"Allocated To","اختصاص داده شده به"
"Allot Points To Assigned Users","امتیاز به کاربران اختصاص داده شده اختصاص دهید"
"Allow","اجازه"
"Allow API Indexing Access","به API Indexing Access اجازه دهید"
"Allow Auto Repeat","تکرار خودکار مجاز است"
"Allow Bulk Edit","اجازه ویرایش انبوه"
"Allow Bulk Editing","اجازه ویرایش انبوه"
"Allow Comments","اجازه ارسال نظر"
"Allow Consecutive Login Attempts","اجازه تلاش های متوالی برای ورود به سیستم"
"Allow Delete","اجازه حذف"
"Allow Dropbox Access","اجازه دسترسی به Dropbox را بدهید"
"Allow Editing After Submit","اجازه ویرایش پس از ارسال"
"Allow Google Calendar Access","اجازه دسترسی به Google Calendar"
"Allow Google Contacts Access","اجازه دسترسی به Google Contacts"
"Allow Google Drive Access","اجازه دسترسی به Google Drive"
"Allow Guest","اجازه مهمان"
"Allow Guest to View","به مهمان اجازه مشاهده بدهید"
"Allow Guest to comment","اجازه دهید مهمان نظر بدهد"
"Allow Guests to Upload Files","به مهمانان اجازه دهید فایل‌ها را آپلود کنند"
"Allow Import (via Data Import Tool)","اجازه درون‌بُرد (از طریق ابزار درون‌بُرد داده)"
"Allow Incomplete Forms","اجازه دادن به فرم های ناقص"
"Allow Login After Fail","اجازه ورود پس از شکست"
"Allow Login using Mobile Number","اجازه ورود با استفاده از شماره موبایل"
"Allow Login using User Name","اجازه ورود با استفاده از نام کاربری"
"Allow Modules","اجازه دادن به ماژول ها"
"Allow Multiple Responses","اجازه دادن به پاسخ های متعدد"
"Allow Older Web View Links (Insecure)","اجازه دادن به پیوندهای مشاهده وب قدیمی (ناامن)"
"Allow Print","اجازه چاپ"
"Allow Print for Cancelled","چاپ برای لغو مجاز است"
"Allow Print for Draft","اجازه چاپ برای پیش‌نویس"
"Allow Read On All Link Options","اجازه خواندن در همه گزینه‌های پیوند"
"Allow Rename","اجازه تغییر نام"
"Allow Roles","اجازه نقش ها"
"Allow Self Approval","اجازه تایید خود"
"Allow Sending Usage Data for Improving Applications","اجازه ارسال داده‌های استفاده برای بهبود برنامه‌ها"
"Allow approval for creator of the document","اجازه تایید برای ایجاد کننده سند"
"Allow document creation via Email","اجازه ایجاد سند از طریق ایمیل"
"Allow events in timeline","رویدادها را در جدول زمانی مجاز کنید"
"Allow in Quick Entry","مجاز در ثبت سریع"
"Allow on Submit","در ارسال اجازه دهید"
"Allow only one session per user","فقط یک نشست برای هر کاربر مجاز است"
"Allow saving if mandatory fields are not filled","در صورت پر نشدن فیلدهای اجباری، ذخیره را مجاز کنید"
"Allow sending usage data for improving applications","اجازه ارسال داده‌های استفاده برای بهبود برنامه‌ها"
"Allow user to login only after this hour (0-24)","اجازه ورود کاربر فقط پس از این ساعت (0-24)"
"Allow user to login only before this hour (0-24)","اجازه ورود کاربر فقط قبل از این ساعت (0-24)"
"Allow users to log in without a password, using a login link sent to their email","به کاربران اجازه دهید بدون گذرواژه با استفاده از پیوند ورود به ایمیل آنها وارد شوند"
"Allowed","مجاز"
"Allowed File Extensions","پسوندهای فایل مجاز"
"Allowed In Mentions","در ذکر نام مجاز است"
"Allowed Modules","ماژول های مجاز"
"Allowed Roles","نقش های مجاز"
"Allowing DocType, DocType. Be careful!","اجازه دادن به DocType، DocType. مراقب باش!"
"Already Registered","قبلا ثبت شده است"
"Already in the following Users ToDo list:{0}","در حال حاضر در لیست انجام کارهای کاربران زیر:{0}"
"Also adding the dependent currency field {0}","همچنین افزودن فیلد ارز وابسته {0}"
"Also adding the status dependency field {0}","همچنین افزودن فیلد وابستگی به وضعیت {0}"
"Alternative Email ID","شناسه ایمیل جایگزین"
"Always add \""""Draft\"""" Heading for printing draft documents","همیشه عنوان \""""پیش‌نویس\"""" را برای چاپ اسناد پیش‌نویس اضافه کنید"
"Always use this email address as sender address","همیشه از این آدرس ایمیل به عنوان آدرس فرستنده استفاده کنید"
"Always use this name as sender name","همیشه از این نام به عنوان نام فرستنده استفاده کنید"
"Amend","اصلاح"
"Amend Counter","اصلاح شمارنده"
"Amended Document Naming Settings","اصلاح تنظیمات نامگذاری سند"
"Amended Documents","اسناد اصلاح شده"
"Amended From","اصلاح از"
"Amending","اصلاح کننده"
"Amendment Naming Override","اصلاح نامگذاری لغو"
"Amendment Not Allowed","اصلاحیه مجاز نیست"
"Amendment naming rules updated.","قوانین نامگذاری اصلاحیه به روز شد."
"An error occurred while setting Session Defaults","هنگام تنظیم پیش‌فرض‌های نشست خطایی روی داد"
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org]","یک فایل نماد با پسوند ico. باید 16 در 16 پیکسل باشد. با استفاده از یک ژنراتور فاویکون تولید شده است. [favicon-generator.org]"
"An unexpected error occurred while authorizing {}.","یک خطای غیرمنتظره هنگام مجوز دادن به {} رخ داد."
"Analytics","تجزیه و تحلیل"
"Ancestors Of","اجداد از"
"Announcement Widget","ویجت اعلامیه"
"Announcements","اطلاعیه ها"
"Annual","سالیانه"
"Anonymization Matrix","ماتریس ناشناس سازی"
"Anonymous responses","پاسخ های ناشناس"
"Another transaction is blocking this one. Please try again in a few seconds.","تراکنش دیگری این یکی را مسدود می‌کند. لطفاً چند ثانیه دیگر دوباره امتحان کنید."
"Another {0} with name {1} exists, select another name","{0} دیگری با نام {1} وجود دارد، نام دیگری را انتخاب کنید"
"Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.","می‌توان از هر زبان چاپگر مبتنی بر رشته استفاده کرد. نوشتن دستورات خام مستلزم دانش زبان مادری چاپگر است که توسط سازنده چاپگر ارائه شده است. لطفاً به کتابچه راهنمای توسعه دهنده ارائه شده توسط سازنده چاپگر در مورد نحوه نوشتن دستورات اصلی آنها مراجعه کنید. این دستورات در سمت سرور با استفاده از زبان قالب گیری Jinja ارائه می‌شوند."
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","به غیر از System Manager، نقش‌هایی با Set User Permissions می‌توانند مجوزهایی را برای سایر کاربران برای آن نوع سند تنظیم کنند."
"App","برنامه"
"App Access Key","کلید دسترسی به برنامه"
"App Access Key and/or Secret Key are not present.","کلید دسترسی برنامه و/یا کلید مخفی وجود ندارد."
"App Client ID","شناسه مشتری برنامه"
"App Client Secret","راز مشتری برنامه"
"App ID","شناسه برنامه"
"App Logo","لوگوی برنامه"
"App Name","نام برنامه"
"App Secret Key","کلید مخفی برنامه"
"App not found for module: {0}","برنامه برای ماژول یافت نشد: {0}"
"App {0} is not installed","برنامه {0} نصب نشده است"
"Append Emails to Sent Folder","ایمیل ها را به پوشه ارسال شده اضافه کنید"
"Append To","علاوه بر"
"Append To can be one of {0}","افزودن به می‌تواند یکی از {0} باشد"
"Append as communication against this DocType (must have fields: \""""Sender\"""" and \""""Subject\""""). These fields can be defined in the email settings section of the appended doctype.","به عنوان ارتباط در مقابل این DocType اضافه شود (باید دارای فیلدهای: \""""فرستنده\"""" و \""""موضوع\""""). این فیلدها را می‌توان در قسمت تنظیمات ایمیل از doctype پیوست شده تعریف کرد."
"Applicable Document Types","انواع اسناد قابل اجرا"
"Applicable For","قابل استفاده برای"
"Application Logo","لوگوی برنامه"
"Application Name","نام نرم‌افزار"
"Application Version","نسخه برنامه"
"Applied On","اعمال شد"
"Apply","درخواست دادن"
"Apply Assignment Rule","اعمال قانون تخصیص"
"Apply Document Permissions","مجوزهای سند را اعمال کنید"
"Apply Filters","اعمال فیلترها"
"Apply Only Once","فقط یکبار درخواست دهید"
"Apply Strict User Permissions","مجوزهای دقیق کاربر را اعمال کنید"
"Apply To","درخواست به"
"Apply To All Document Types","برای همه انواع اسناد اعمال شود"
"Apply User Permission On","اعمال مجوز کاربر در"
"Apply this rule if the User is the Owner","اگر کاربر مالک است، این قانون را اعمال کنید"
"Apply this rule only once per document","این قانون را فقط یک بار در هر سند اعمال کنید"
"Apply to all Documents Types","برای همه انواع اسناد اعمال شود"
"Applying: {0}","درخواست: {0}"
"Appreciate","قدردانی"
"Appreciation","قدردانی"
"Approval Required","تایید لازم است"
"Apps","برنامه ها"
"Ar","Ar"
"Archive","بایگانی"
"Archived","بایگانی شد"
"Archived Columns","ستون های بایگانی شده"
"Are you sure you want to delete all rows?","آیا مطمئن هستید که می‌خواهید همه ردیف ها را حذف کنید؟"
"Are you sure you want to delete page {0}?","آیا مطمئن هستید که می‌خواهید صفحه {0} را حذف کنید؟"
"Are you sure you want to delete the attachment?","آیا مطمئن هستید که می‌خواهید پیوست را حذف کنید؟"
"Are you sure you want to delete the column? All the fields in the column will be moved to the previous column.","آیا مطمئن هستید که می‌خواهید ستون را حذف کنید؟ تمام فیلدهای ستون به ستون قبلی منتقل خواهند شد."
"Are you sure you want to delete the section? All the columns along with fields in the section will be moved to the previous section.","آیا مطمئن هستید که می‌خواهید بخش را حذف کنید؟ تمام ستون ها به همراه فیلدهای موجود در بخش به بخش قبلی منتقل می‌شوند."
"Are you sure you want to discard the changes?","آیا مطمئن هستید که می‌خواهید تغییرات را نادیده بگیرید؟"
"Are you sure you want to generate a new report?","آیا مطمئن هستید که می‌خواهید یک گزارش جدید ایجاد کنید؟"
"Are you sure you want to merge {0} with {1}?","آیا مطمئنید که می‌خواهید {0} را با {1} ادغام کنید؟"
"Are you sure you want to proceed?","آیا مطمئن هستید که می‌خواهید ادامه دهید؟"
"Are you sure you want to re-enable scheduler?","آیا مطمئن هستید که می‌خواهید زمان‌بندی را دوباره فعال کنید؟"
"Are you sure you want to relink this communication to {0}?","آیا مطمئن هستید که می‌خواهید این ارتباط را دوباره به {0} پیوند دهید؟"
"Are you sure you want to remove all failed jobs?","آیا مطمئن هستید که می‌خواهید همه کارهای ناموفق را حذف کنید؟"
"Are you sure you want to remove the {0} filter?","آیا مطمئن هستید که می‌خواهید فیلتر {0} را حذف کنید؟"
"Are you sure you want to reset all customizations?","آیا مطمئن هستید که می‌خواهید همه سفارشی سازی ها را بازنشانی کنید؟"
"Are you sure you want to save this document?","آیا مطمئن هستید که می‌خواهید این سند را ذخیره کنید؟"
"Are you sure you want to send this newsletter now?","آیا مطمئن هستید که اکنون می‌خواهید این خبرنامه را ارسال کنید؟"
"Are you sure?","مطمئنی؟"
"Arguments","استدلال ها"
"Arial","آریال"
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","به عنوان بهترین روش، مجموعه ای از قوانین مجوز مشابه را به نقش های مختلف اختصاص ندهید. در عوض، چندین نقش را برای یک کاربر تنظیم کنید."
"As document sharing is disabled, please give them the required permissions before assigning.","از آنجایی که اشتراک‌گذاری سند غیرفعال است، لطفاً قبل از تخصیص، مجوزهای لازم را به آنها بدهید."
"As per your request, your account and data on {0} associated with email {1} has been permanently deleted","طبق درخواست شما، حساب و داده های شما در {0} مرتبط با ایمیل {1} برای همیشه حذف شده است"
"Assign Condition","تعیین شرط"
"Assign To","اختصاص به"
"Assign To User Group","اختصاص به گروه کاربر"
"Assign To Users","اختصاص به کاربران"
"Assign a user","یک کاربر اختصاص دهید"
"Assign one by one, in sequence","به ترتیب یک به یک اختصاص دهید"
"Assign to me","به من اختصاص دهید"
"Assign to the one who has the least assignments","به کسی که کمترین تکالیف را دارد محول کنید"
"Assign to the user set in this field","به مجموعه کاربری در این قسمت اختصاص دهید"
"Assigned","اختصاص داده"
"Assigned By","اختصاص داده شده توسط"
"Assigned By Full Name","نام کامل اختصاص دهنده"
"Assigned To","اختصاص یافته به"
"Assigned To/Owner","اختصاص داده شده به / مالک"
"Assigning...","در حال واگذاری..."
"Assignment","تخصیص"
"Assignment Completed","تخصیص انجام شد"
"Assignment Days","روزهای تخصیص"
"Assignment Rule","قانون تخصیص"
"Assignment Rule Day","روز قانون تخصیص"
"Assignment Rule User","کاربر قانون تخصیص"
"Assignment Rule is not allowed on document type {0}","قانون تخصیص در نوع سند {0} مجاز نیست"
"Assignment Rules","قوانین تخصیص"
"Assignment Update on {0}","به‌روزرسانی تخصیص در {0}"
"Assignment for {0} {1}","تخصیص برای {0} {1}"
"Assignment of {0} removed by {1}","تخصیص {0} توسط {1} حذف شد"
"Assignments","تکالیف"
"At least one column is required to show in the grid.","حداقل یک ستون برای نمایش در شبکه مورد نیاز است."
"Atleast one field is required in Web Form Fields Table","حداقل یک فیلد در جدول فیلدهای فرم وب اجباری است"
"Atleast one field of Parent Document Type is mandatory","حداقل یک فیلد از نوع سند والد اجباری است"
"Attach","پیوست"
"Attach Document Print","پیوست چاپ سند"
"Attach Image","پیوست تصویر"
"Attach Package","پیوست بسته"
"Attach Print","پیوست چاپ"
"Attach a web link","پیوست یک پیوند وب"
"Attach files / urls and add in table.","فایل ها / آدرس ها را پیوست کنید و در جدول اضافه کنید."
"Attached File","فایل پیوست شده"
"Attached To DocType","پیوست به DocType"
"Attached To Field","پیوست به فیلد"
"Attached To Name","پیوست به نام"
"Attached To Name must be a string or an integer","پیوست به نام باید یک رشته یا یک عدد صحیح باشد"
"Attachment","دلبستگی"
"Attachment Limit (MB)","محدودیت پیوست (MB)"
"Attachment Limit Reached","به محدودیت پیوست رسید"
"Attachment Link","لینک پیوست"
"Attachment Removed","پیوست حذف شد"
"Attachments","فایل های پیوست"
"Attempting Connection to QZ Tray...","تلاش برای اتصال به سینی QZ..."
"Attempting to launch QZ Tray...","تلاش برای راه‌اندازی QZ Tray..."
"Audience","حضار"
"Audit System Hooks","قلاب های سیستم حسابرسی"
"Audit Trail","مسیر حسابرسی"
"Auth URL Data","داده های URL را تأیید کنید"
"Authentication","احراز هویت"
"Authentication Apps you can use are:","برنامه های احراز هویتی که می‌توانید استفاده کنید عبارتند از:"
